,Hearbeat ID,Ground Truth,Predicted Category,Comparison Result
0,74697,2,2,1
1,74845,2,2,1
2,75168,2,2,1
3,75195,2,2,1
4,75380,2,2,1
5,75429,2,2,1
6,75582,2,2,1
7,75643,2,2,1
8,75799,2,2,1
9,75873,2,2,1
10,75926,2,2,1
11,75980,2,2,1
12,75996,2,2,1
13,76113,2,2,1
14,76178,2,4,0
15,76195,2,2,1
16,76280,2,2,1
17,76528,2,2,1
18,76566,2,2,1
19,76731,2,2,1
20,76852,2,2,1
21,76924,2,2,1
22,76987,2,2,1
23,77106,2,2,1
24,77236,2,2,1
25,77282,2,2,1
26,77399,2,2,1
27,77809,2,4,0
28,77821,2,2,1
29,77913,2,2,1
30,77965,2,2,1
31,78080,2,2,1
32,78108,2,2,1
33,78130,2,2,1
34,78194,2,2,1
35,78248,2,2,1
36,78285,2,2,1
37,78294,2,2,1
38,78296,2,2,1
39,78313,2,2,1
40,78448,2,2,1
41,78484,2,2,1
42,78495,2,4,0
43,78586,2,2,1
44,78721,2,2,1
45,78739,2,2,1
46,78786,2,2,1
47,78951,2,4,0
48,79038,2,2,1
49,79300,2,4,0
50,79471,2,2,1
51,79505,2,4,0
52,79606,2,2,1
53,79789,2,2,1
54,79928,2,2,1
55,80055,2,4,0
56,80100,2,2,1
57,80218,2,2,1
58,80465,2,2,1
59,80477,2,2,1
60,106409,2,2,1
61,106555,2,2,1
62,106617,2,2,1
63,106651,2,2,1
64,106751,2,2,1
65,106817,2,2,1
66,106819,2,4,0
67,106866,2,2,1
68,106952,2,4,0
69,106965,2,2,1
70,107128,2,2,1
71,107152,2,2,1
72,107239,2,2,1
73,107286,2,2,1
74,107308,2,2,1
75,107438,2,2,1
76,107497,2,2,1
77,107604,2,2,1
78,107659,2,2,1
