id,name,faultRate
0,UC_Diag,1.77315E-8
1,Flash_Diag,1.77320E-8
2,R1_Diag,4.16120E-9
3,OC_Diag,8.45586E-8
4,R2_Diag,4.16120E-9
5,DC_DC_Diag,2.13881E-8
6,R1_Sys,4.16120E-9
7,OC1_Sys,8.45586E-8
8,R2_Sys,4.16120E-9
9,OC2_Sys,8.45586E-8
10,R3_Sys,4.16120E-9
11,OC3_Sys,8.45586E-8
12,D_Sys,2.89074E-7
13,K_Sys,4.00856E-6
14,OR_Sys,1.41133E-8
15,Q_Sys,2.46670E-8
16,R4_Sys,4.16120E-9
17,F_Sys,1.00000E-8
18,DZ_Sys,4.01333E-6
19,R5_Sys,4.16120E-9
20,UC_Sys,1.77315E-8
21,Flash_Sys,1.77320E-8
22,DC_DC_Sys,2.13881E-8
23,C_Sys,2.48647E-9
