id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Open Diode,0.08333,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
1,Open Emitter,0.08333,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
2,Open Collector,0.08333,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
3,Open Base,0.08333,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
4,Increase of Light Sensitivity,0.08333,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
5,Decrease of Light Sensitivity,0.08333,0,2038,0,0,0,4091,0,1,safe,maybe,no,cm2
6,Increase of Leakage Current,0.12500,0,2038,0,0,0,4091,0,1,safe,maybe,no,cm2
7,Reduced Insulation Between Input and Output,0.12500,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
8,Change on Switching Time,0.08333,4092,4093,4092,4092,4093,4093,0,1,safe,yes,no,not_applicable
9,Increase on Current Gain,0.08333,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
10,Decrease on Current Gain,0.08333,4092,4093,4092,4092,5,4093,0,1,safe,maybe,no,cm2
