id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn
0,Interruption of Gate,2.64286E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
1,Interruption of Source,2.64286E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
2,Interruption of Drain,2.64286E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
3,Interruption of Gate and Source,2.64286E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
4,Interruption of Gate and Drain,2.64286E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
5,Interruption of Source and Drain,2.64286E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
6,Interruption of Gate; Source and Drain,2.64286E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
7,Short-Circuit Between Source and Drain,9.21429E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
8,Short-Circuit Between Gate and Drain,9.21429E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
9,Short-Circuit Between Source and Gate,9.21429E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
10,Short-Circuit Between Source; Gate and Drain,9.21429E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
11,Short-Circuit Between Source and Drain with Interruption of Gate,9.21429E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
12,Short-Circuit Between Gate and Drain with Interruption of Source,9.21429E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
13,Short-Circuit Between Source and Gate with Interruption of Drain,9.21429E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
14,Increase of Forward Transcondutance,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
15,Decrease of Forward Transcondutance,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
16,Increase of Gate Threshold Voltage,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
17,Decrease of Gate Threshold Voltage,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
18,Decrease of Drain-Source Breakdown Voltage,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
19,Decrease of Gate-Source Maximum Rated Voltage,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
20,Decrease of Drain-Gate Maximum Rated Voltage,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
21,Change of Turn-On Time,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
22,Change of Turn-Off Time,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
23,Increase of Leakage Current IGS,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
24,Increase of Leakage Current IDS,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
25,Increase of Leakage Current IGD,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
26,Change of Static Drain to Source On-State Resistance,1.30769E-2,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
