iteration,input_fuse_test,output_fuse_result
1,0,0.107527
1,1,0.85512
2,0,0.0967657
2,1,0.910615
3,0,0.0844525
3,1,0.94502
4,0,0.0879647
4,1,0.899796
5,0,0.104244
5,1,0.97143
6,0,0.105151
6,1,0.857997
7,0,0.0996607
7,1,0.884403
8,0,0.0914118
8,1,0.938109
9,0,0.0544971
9,1,0.92587
10,0,0.049763
10,1,0.890312
11,0,0.133849
11,1,0.858508
12,0,0.0664226
12,1,0.841343
13,0,0.127684
13,1,0.88737
14,0,0.148354
14,1,0.89926
15,0,0.0595492
15,1,0.964629
16,0,0.110507
16,1,0.95451
17,0,0.0790857
17,1,0.889793
18,0,0.072656
18,1,0.889151
19,0,0.107737
19,1,0.903881
20,0,0.0958674
20,1,0.868653
