iteration,input_fuse_test,output_fuse_result
1,0,0.0730313
1,1,0.953603
2,0,0.0952714
2,1,0.952844
3,0,0.101268
3,1,0.873827
4,0,0.115028
4,1,0.902054
5,0,0.108504
5,1,0.940887
6,0,0.0702489
6,1,0.935896
7,0,0.083086
7,1,0.900413
8,0,0.0999314
8,1,0.898486
9,0,0.102285
9,1,0.912447
10,0,0.0830706
10,1,0.900594
11,0,0.0874693
11,1,0.904086
12,0,0.116599
12,1,0.938521
13,0,0.0966314
13,1,0.872743
14,0,0.103841
14,1,0.911421
15,0,0.084299
15,1,0.925472
16,0,0.0863242
16,1,0.885656
17,0,0.098089
17,1,0.936316
18,0,0.0989692
18,1,0.945976
19,0,0.0910696
19,1,0.910125
20,0,0.106334
20,1,0.918075
21,0,0.114047
21,1,0.897147
22,0,0.122184
22,1,0.921843
23,0,0.0700256
23,1,0.909895
24,0,0.0883495
24,1,0.900796
25,0,0.102992
25,1,0.913767
26,0,0.111076
26,1,0.949741
27,0,0.0924185
27,1,0.870076
28,0,0.110789
28,1,0.897966
29,0,0.0813336
29,1,0.911797
30,0,0.101439
30,1,0.908945
31,0,0.118871
31,1,0.903588
32,0,0.0906833
32,1,0.897128
33,0,0.088717
33,1,0.876856
34,0,0.0794551
34,1,0.902283
35,0,0.0712582
35,1,0.876924
36,0,0.108018
36,1,0.955829
37,0,0.0918896
37,1,0.887344
38,0,0.126009
38,1,0.895234
39,0,0.088656
39,1,0.897441
40,0,0.0962411
40,1,0.871353
41,0,0.0994551
41,1,0.950547
42,0,0.0812119
42,1,0.904631
43,0,0.0863481
43,1,0.948518
44,0,0.0913011
44,1,0.950575
45,0,0.0956162
45,1,0.895408
46,0,0.110555
46,1,0.911695
47,0,0.108729
47,1,0.897806
48,0,0.0992987
48,1,0.910583
49,0,0.117754
49,1,0.895314
50,0,0.126819
50,1,0.874074
