iteration,silhouette_cluster1,silhouette_cluster2,n_points_cluster1,n_points_cluster2,overall_silhouette1
1,0,0,1,1,0
2,0.89876,0.958401,2,2,0.92858
3,0.933174,0.9669,3,3,0.950037
4,0.946858,0.93854,4,4,0.942699
5,0.952816,0.938942,5,5,0.945879
6,0.960306,0.715488,5,7,0.817496
7,0.963888,0.669311,5,9,0.774517
8,0.965701,0.67398,5,11,0.765143
9,0.966889,0.692707,5,13,0.768868
10,0.96776,0.712423,5,15,0.776257
11,0.968474,0.728563,5,17,0.783088
12,0.968943,0.742802,5,19,0.789915
13,0.969239,0.760211,5,21,0.800409
14,0.96955,0.774687,5,23,0.809484
15,0.969736,0.788332,5,25,0.818566
1,0,0,1,1,0
2,0.946678,0.98505,2,2,0.965864
3,0.964423,0.990107,3,3,0.977265
4,0.953826,0.982575,4,4,0.968201
5,0.935466,0.943989,5,5,0.939728
6,0.932022,0.867887,5,7,0.89461
7,0.929598,0.840663,5,9,0.872426
8,0.928248,0.842027,5,11,0.868971
9,0.947565,0.44377,5,13,0.583713
10,0.801921,0.589352,16,4,0.759407
11,0.802788,0.633353,16,6,0.756579
12,0.802178,0.657674,16,8,0.75401
13,0.801668,0.669421,16,10,0.750803
