name,faultRate
UC_Diag,1.77315E-8
Flash_Diag,1.77320E-8
DZ_Diag,4.01333E-6
R_Diag,4.16120E-9
DC_DC_Diag,2.13881E-8
PCB_CC1_Diag,1.68000E-10
PCB_CC2_Diag,1.68000E-10
PCB_CC3_Diag,1.68000E-10
R1_Sys,4.16120E-9
OC1_Sys,8.45586E-8
R2_Sys,4.16120E-9
OC2_Sys,8.45586E-8
R3_Sys,4.16120E-9
OC3_Sys,8.45586E-8
D_Sys,2.89074E-7
K_Sys,4.00856E-6
OR_Sys,1.41133E-8
Q_Sys,2.46749E-8
R4_Sys,4.16120E-9
F_Sys,1.00000E-8
UC_Sys,1.77315E-8
Flash_Sys,1.77320E-8
DC_DC_Sys,2.13881E-8
PCB_CC1_Sys,1.68000E-10
PCB_CC2_Sys,1.68000E-10
PCB_CC3_Sys,1.68000E-10
PCB_CC4_Sys,1.68000E-10
PCB_CC5_Sys,1.68000E-10
PCB_CC6_Sys,1.68000E-10
PCB_CC7_Sys,1.68000E-10
