id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Open,0.45000,0,0,0,0,0,0,0,1,safe,outside_scope,no,not_applicable
1,Short-Circuit,0.20000,0,0,0,0,0,0,0,1,safe,yes,no,not_applicable
2,Increase of Zener Voltage,0.04375,0,0,0,0,0,0,0,1,safe,outside_scope,no,not_applicable
3,Decrease of Zener Voltage,0.04375,0,2038,0,0,0,4095,0,1,safe,maybe,no,cm2
4,Increase of Leakage Current,0.04375,0,2038,0,0,0,4095,0,1,safe,maybe,no,cm2
5,Change of Differential Resistance,0.04375,0,0,0,0,0,0,0,1,safe,outside_scope,no,not_applicable
6,Increase of Forward Conducting-State Voltage,0.04375,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
7,Decrease of Forward Conducting-State Voltage,0.04375,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
8,Increase of Forward Threshold Voltage,0.04375,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
9,Decrease of Forward Threshold Voltage,0.04375,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
