id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn
0,Open Diode,0.08333,0,0,0,0,0,0,0,1
1,Open Emitter,0.08333,0,0,0,0,0,0,0,1
2,Open Collector,0.08333,0,0,0,0,0,0,0,1
3,Open Base,0.08333,54,4092,51,57,4091,4095,0,1
4,Increase of Light Sensitivity,0.08333,54,4092,51,57,4091,4095,0,1
5,Decrease of Light Sensitivity,0.08333,0,0,0,0,0,0,0,1
6,Increase of Leakage Current,0.12500,0,0,0,0,0,0,0,1
7,Reduced Insulation Between Input and Output,0.12500,0,0,0,0,0,0,0,1
8,Change on Switching Time,0.08333,0,0,0,0,0,0,0,1
9,Increase on Current Gain,0.08333,54,4092,51,57,4091,4095,0,1
10,Decrease on Current Gain,0.08333,0,0,0,0,0,0,0,1
