id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn
0,Open Diode,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
1,Open Emitter,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
2,Open Collector,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
3,Open Base,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
4,Increase of Light Sensitivity,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
5,Decrease of Light Sensitivity,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
6,Increase of Leakage Current,0.12500,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
7,Reduced Insulation Between Input and Output,0.12500,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
8,Change on Switching Time,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
9,Increase on Current Gain,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
10,Decrease on Current Gain,0.08333,0.9500,0.0020,0.9200,1.0000,0.0000,0.0050
