id,name,probability,meanValueFuseResultBurn,meanValueFuseResultNotBurn,minFuseResultBurn,maxFuseResultBurn,minFuseResultNotBurn,maxFuseResultNotBurn,keepPowerReadbackOff,keepPowerReadbackOn,fmSafety,fmDetectableFuse,fmDetectableKeepPow,classMultipleFaults
0,Open Diode,0.08333,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
1,Open Emitter,0.08333,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
2,Open Collector,0.08333,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
3,Open Base,0.08333,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
4,Increase of Light Sensitivity,0.08333,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
5,Decrease of Light Sensitivity,0.08333,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
6,Increase of Leakage Current,0.12500,54,4092,51,57,4091,4095,1,1,safe,no,yes,not_applicable
7,Reduced Insulation Between Input and Output,0.12500,54,4092,51,57,4091,4095,0,1,safe,no,no,not_applicable
8,Change on Switching Time,0.08333,54,4092,51,57,4091,4095,1,0,safe,no,no,not_applicable
9,Increase on Current Gain,0.08333,54,4092,51,57,4091,4095,0,1,safe,impactless,impactless,not_applicable
10,Decrease on Current Gain,0.08333,54,4092,51,57,4091,4095,1,1,safe,no,no,not_applicable
