iteration,input_fuse_test,output_fuse_result
1,0,0.116902
1,1,0.852475
2,0,0.167039
2,1,0.905254
3,0,0.119583
3,1,0.864984
4,0,0.0848996
4,1,0.850834
5,0,0.0808979
5,1,0.900544
6,0,0.0708213
6,1,0.909619
7,0,0.072201
7,1,0.91826
8,0,0.165367
8,1,0.899755
9,0,0.0925825
9,1,0.919668
10,0,0.0955711
10,1,0.886286
11,0,0.109675
11,1,0.870918
12,0,0.117753
12,1,0.925295
13,0,0.0914706
13,1,0.864511
14,0,0.120541
14,1,0.905522
15,0,0.134543
15,1,0.902487
16,0,0.0904019
16,1,0.859014
17,0,0.162318
17,1,0.924869
18,0,0.113453
18,1,0.882306
19,0,0.0779783
19,1,0.883899
20,0,0.103232
20,1,0.895955
