iteration,silhouette_cluster1,silhouette_cluster2,n_points_cluster1,n_points_cluster2,overall_silhouette1
1,0,0,1,1,0
2,0.931883,0.928284,2,2,0.930084
3,0.954303,0.952681,3,3,0.953492
4,0.94397,0.961135,4,4,0.952552
5,0.945016,0.958868,5,5,0.951942
6,0.945115,0.957898,6,6,0.951506
7,0.948264,0.956472,7,7,0.952368
8,0.940201,0.959367,8,8,0.949784
9,0.944392,0.959425,9,9,0.951908
10,0.947948,0.961157,10,10,0.954553
11,0.950481,0.961493,11,11,0.955987
12,0.95272,0.960209,12,12,0.956464
13,0.954769,0.960106,13,13,0.957438
14,0.956129,0.96147,14,14,0.9588
15,0.955804,0.962882,15,15,0.959343
16,0.957051,0.961963,16,16,0.959507
17,0.953686,0.961031,17,17,0.957359
18,0.955187,0.961797,18,18,0.958492
19,0.955192,0.962768,19,19,0.95898
20,0.95652,0.963804,20,20,0.960162
