iteration,fuseTest,fuseResult
1,0,53.8781
1,1,4091.85
3,0,56.336
3,1,4092
5,0,54.0923
5,1,4093.01
7,0,51.1068
7,1,4091.36
9,0,53.6413
9,1,4091.5
11,0,54.9215
11,1,4092.49
13,0,53.6026
13,1,4092.1
15,0,54.4245
15,1,4091.86
17,0,54.388
17,1,4092
19,0,53.1535
19,1,4092.72
21,0,54.7075
21,1,4091.57
23,0,52.4413
23,1,4091.83
25,0,54.5073
25,1,4091.98
27,0,55.3268
27,1,4092.79
29,0,54.838
29,1,4092
31,0,56.1702
31,1,4094.1
33,0,53.997
33,1,4091.81
35,0,53.8387
35,1,4091.4
37,0,52.1709
37,1,4091.28
39,0,53.1885
39,1,4093.95
41,0,53.683
41,1,4092.27
43,0,54.1905
43,1,4092.61
45,0,53.7158
45,1,4094.73
47,0,54.2121
47,1,4092.68
49,0,54.5318
49,1,4093.83
51,0,54.0334
51,1,4091.42
53,0,56.0078
53,1,4092.34
55,0,52.0337
55,1,4091.82
57,0,54.106
57,1,4091.35
59,0,54.3635
59,1,4092.52
61,0,52.1929
61,1,4092.34
