iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999391,0.999964,2,2,0.999677
5,0.999594,0.999809,3,3,0.999701
7,0.999344,0.999789,4,4,0.999567
9,0.99946,0.999812,5,5,0.999636
11,0.999501,0.999812,6,6,0.999657
13,0.999557,0.999831,7,7,0.999694
15,0.999595,0.999846,8,8,0.999721
17,0.999629,0.99986,9,9,0.999744
19,0.999637,0.99985,10,10,0.999743
21,0.999652,0.999851,11,11,0.999752
23,0.999635,0.999859,12,12,0.999747
25,0.999652,0.999867,13,13,0.99976
27,0.999647,0.999858,14,14,0.999752
29,0.999658,0.999864,15,15,0.999761
31,0.999636,0.999819,16,16,0.999727
33,0.99965,0.999825,17,17,0.999737
35,0.999661,0.999823,18,18,0.999742
37,0.999641,0.99982,19,19,0.999731
39,0.999645,0.999791,20,20,0.999718
41,0.999655,0.999796,21,21,0.999726
43,0.999666,0.999797,22,22,0.999732
45,0.999675,0.999761,23,23,0.999718
47,0.999684,0.999764,24,24,0.999724
49,0.999691,0.999751,25,25,0.999721
51,0.999699,0.999751,26,26,0.999725
53,0.999685,0.999756,27,27,0.999721
55,0.999669,0.999761,28,28,0.999715
57,0.999677,0.999761,29,29,0.999719
59,0.999684,0.999764,30,30,0.999724
61,0.999674,0.999769,31,31,0.999721
