iteration,fuseTest,fuseResult
1,0,52.5586
1,1,4092.43
3,0,54.2074
3,1,4091.84
5,0,56.1384
5,1,4094.53
7,0,53.9949
7,1,4091.38
9,0,51.1858
9,1,4093.42
11,0,52.8574
11,1,4092.62
13,0,52.2015
13,1,4091.39
15,0,53.601
15,1,4091.89
17,0,54.1854
17,1,4092.22
19,0,53.8615
19,1,4092.03
21,0,55.1285
21,1,4092
23,0,51.2938
23,1,4091.01
25,0,53.2651
25,1,4091.96
27,0,54.5394
27,1,4091.96
29,0,53.7031
29,1,4091.04
31,0,54.9044
31,1,4092.04
33,0,52.5517
33,1,4092.88
35,0,53.9489
35,1,4091.6
37,0,54.7338
37,1,4092.08
39,0,54.2165
39,1,4093.56
41,0,55.3754
41,1,4092.11
43,0,53.2401
43,1,4091.92
45,0,53.6877
45,1,4094.18
47,0,52.6824
47,1,4091.51
49,0,56.4075
49,1,4092.31
51,0,54.5466
51,1,4093.2
53,0,53.8465
53,1,4092.33
55,0,54.0585
55,1,4091.39
57,0,54.1269
57,1,4092.62
59,0,53.4612
59,1,4091.32
61,0,54.3678
61,1,4091.18
63,0,53.919
63,1,4092.11
65,0,0
65,1,3805.66
67,0,0
67,1,3801.91
69,0,0
69,1,3805.75
