iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999592,0.999853,2,2,0.999722
5,0.999409,0.999555,3,3,0.999482
7,0.999548,0.999585,4,4,0.999567
9,0.999428,0.99961,5,5,0.999519
11,0.999491,0.999659,6,6,0.999575
13,0.999521,0.999663,7,7,0.999592
15,0.99956,0.99969,8,8,0.999625
17,0.999584,0.999714,9,9,0.999649
19,0.999613,0.999735,10,10,0.999674
21,0.9996,0.999753,11,11,0.999676
23,0.999569,0.999739,12,12,0.999654
25,0.999589,0.999754,13,13,0.999672
27,0.999597,0.999768,14,14,0.999682
29,0.999615,0.999761,15,15,0.999688
31,0.999614,0.999772,16,16,0.999693
33,0.999618,0.999769,17,17,0.999693
35,0.999631,0.999774,18,18,0.999703
37,0.999634,0.999783,19,19,0.999708
39,0.999645,0.999766,20,20,0.999706
41,0.999636,0.999774,21,21,0.999705
43,0.999643,0.999782,22,22,0.999713
45,0.999653,0.999757,23,23,0.999705
47,0.999655,0.999759,24,24,0.999707
49,0.999628,0.999765,25,25,0.999696
51,0.999634,0.99976,26,26,0.999697
53,0.999643,0.999765,27,27,0.999704
55,0.999651,0.999766,28,28,0.999708
57,0.999659,0.999768,29,29,0.999713
59,0.999665,0.999767,30,30,0.999716
61,0.999671,0.999765,31,31,0.999718
63,0.999678,0.99977,32,32,0.999724
65,0.998892,0.995322,33,33,0.997107
67,0.998197,0.991342,34,34,0.994769
69,0.99758,0.987882,35,35,0.992731
