iteration,input_fuse_test,output_fuse_result
1,0,0.0856285
1,1,0.890834
2,0,0.10532
2,1,0.893225
3,0,0.0802631
3,1,0.908982
4,0,0.0958426
4,1,0.917299
5,0,0.100862
5,1,0.922138
6,0,0.099282
6,1,0.926929
7,0,0.0783783
7,1,0.893239
8,0,0.0858531
8,1,0.925129
9,0,0.10407
9,1,0.91258
10,0,0.086591
10,1,0.894769
11,0,0.0988919
11,1,0.877491
12,0,0.0931344
12,1,0.901495
13,0,0.101034
13,1,0.897358
14,0,0.105131
14,1,0.923108
15,0,0.0866801
15,1,0.930453
16,0,0.111106
16,1,0.881552
17,0,0.10126
17,1,0.92145
18,0,0.103511
18,1,0.894696
19,0,0.099391
19,1,0.933127
20,0,0.0720927
20,1,0.90902
21,0,0.0967878
21,1,0.8851
22,0,0.11444
22,1,0.900859
23,0,0.112501
23,1,0.91853
24,0,0.117805
24,1,0.916959
25,0,0.0727435
25,1,0.897252
26,0,0.0739848
26,1,0.890112
27,0,0.0973392
27,1,0.901636
28,0,0.0733284
28,1,0.90478
29,0,0.103493
29,1,0.883025
30,0,0.101155
30,1,0.906706
31,0,0.935741
31,1,0.00303083
32,0,0.968864
32,1,0.00315657
33,0,0.950242
33,1,0.00123697
34,0,0.950138
34,1,0.00192074
35,0,0.944934
35,1,0.0043771
36,0,0.956011
36,1,0.00481397
37,0,0.966792
37,1,0.00222159
38,0,0.976108
38,1,0.00453216
39,0,0.94603
39,1,0.00239791
40,0,0.951783
40,1,0.000501664
41,0,0.95462
41,1,6.02087e-05
42,0,0.988648
42,1,0.00227421
43,0,0.949676
43,1,0.00224583
44,0,0.955504
44,1,0.00282672
45,0,0.957013
45,1,0.00142989
46,0,0.982314
46,1,0.00181318
47,0,0.985269
47,1,0.00175872
48,0,0.982347
48,1,0.00451192
49,0,0.927299
49,1,0.00186601
50,0,0.955131
50,1,4.97484e-05
51,0,0.945556
51,1,0.00210804
52,0,0.979671
52,1,0.00485876
53,0,0.949468
53,1,0.00192649
54,0,0.949313
54,1,0.00118434
55,0,0.959763
55,1,0.00437042
56,0,0.957066
56,1,0.00445702
57,0,0.94632
57,1,0.00401722
58,0,0.961572
58,1,0.00371676
59,0,0.951205
59,1,0.00367362
60,0,0.973981
60,1,0.00388349
61,0,0.950535
61,1,0.00295573
62,0,0.934581
62,1,0.00397335
63,0,0.953608
63,1,0.00151301
64,0,0.945366
64,1,0.00376331
65,0,0.991746
65,1,0.0019968
66,0,0.952704
66,1,0.0020278
67,0,0.971458
67,1,0.00185008
68,0,0.958254
68,1,0.0041673
69,0,0.920197
69,1,0.00242443
70,0,0.97136
70,1,0.000968741
71,0,0.953115
71,1,0.000868402
72,0,0.954526
72,1,0.00040423
73,0,0.941895
73,1,0.00449767
74,0,0.987125
74,1,0.00390266
75,0,0.92751
75,1,0.00343237
76,0,0.946163
76,1,0.00393196
77,0,0.950463
77,1,0.00492484
78,0,0.998511
78,1,0.00491982
79,0,0.943504
79,1,0.000619673
80,0,0.99131
80,1,0.00409587
81,0,0.964087
81,1,0.000111333
82,0,0.97136
82,1,0.00291868
83,0,0.952248
83,1,0.00199438
84,0,0.959125
84,1,0.00150181
85,0,0.961645
85,1,0.00152171
86,0,0.940231
86,1,0.00226061
87,0,0.970829
87,1,0.00401667
88,0,0.977633
88,1,0.00477664
89,0,0.956628
89,1,0.00126169
90,0,0.963494
90,1,0.00315319
91,0,0.948179
91,1,0.00328913
92,0,0.982333
92,1,0.00170605
93,0,0.960234
93,1,0.00181482
94,0,0.963629
94,1,0.00331363
95,0,0.936587
95,1,0.00376656
96,0,0.98457
96,1,0.00413492
97,0,0.959405
97,1,0.00204678
98,0,0.930699
98,1,0.0003712
99,0,0.946584
99,1,0.00359152
100,0,0.950916
100,1,0.0047154
101,0,0.943416
101,1,0.00345001
102,0,0.9738
102,1,0.00205085
103,0,0.952011
103,1,0.00307873
104,0,0.923828
104,1,0.00403534
105,0,0.941568
105,1,0.0016063
106,0,0.94484
106,1,0.000211919
107,0,0.933183
107,1,0.000171389
108,0,0.948112
108,1,0.00068017
109,0,0.920329
109,1,0.00412314
110,0,0.946993
110,1,0.00385799
111,0,0.954963
111,1,4.20816e-06
112,0,0.944277
112,1,0.00411399
113,0,0.945314
113,1,0.000522649
114,0,0.96421
114,1,0.00140121
115,0,0.952933
115,1,0.00378803
116,0,0.945049
116,1,0.00464534
117,0,0.959
117,1,0.00465155
118,0,0.940678
118,1,0.00270289
119,0,0.931176
119,1,0.00220907
120,0,0.990637
120,1,0.00163341
121,0,0.941508
121,1,0.00451517
122,0,0.955007
122,1,0.00117599
123,0,0.931749
123,1,0.00183528
124,0,0.963686
124,1,0.0010956
125,0,0.957095
125,1,0.00247804
126,0,0.962537
126,1,0.00402708
127,0,0.934907
127,1,0.00425464
128,0,0.938861
128,1,0.000432745
129,0,0.941065
129,1,0.00433628
130,0,0.932852
130,1,0.000910898
131,0,0.936532
131,1,0.00379951
132,0,0.944969
132,1,0.000261302
133,0,0.951471
133,1,0.00311364
134,0,0.945224
134,1,0.00204617
135,0,0.976572
135,1,0.000872404
136,0,0.987981
136,1,0.00334276
137,0,0.929568
137,1,0.00122315
138,0,0.956629
138,1,0.00492592
139,0,0.981966
139,1,0.00498659
140,0,0.954716
140,1,0.00173966
141,0,0.950185
141,1,0.0049604
142,0,0.95533
142,1,0.000161219
143,0,0.97046
143,1,0.000539731
144,0,0.954445
144,1,0.00235569
145,0,0.98456
145,1,0.000935935
146,0,0.957048
146,1,0.000615482
147,0,0.952607
147,1,0.00107541
148,0,0.931621
148,1,0.00224226
149,0,0.997964
149,1,0.00215684
150,0,0.94877
150,1,0.00409645
151,0,0.94305
151,1,0.000289767
152,0,0.944302
152,1,0.00259558
153,0,0.958245
153,1,0.00366575
154,0,0.987769
154,1,0.00498322
155,0,0.961506
155,1,0.00218606
156,0,0.943446
156,1,0.00284109
157,0,0.956958
157,1,0.00381531
158,0,0.977729
158,1,0.00197072
159,0,0.977876
159,1,0.00492166
160,0,0.920743
160,1,0.00255672
161,0,0.956751
161,1,0.00398427
162,0,0.95281
162,1,0.00435776
163,0,0.964227
163,1,0.000787347
