iteration,silhouette_cluster1,silhouette_cluster2,n_points_cluster1,n_points_cluster2,overall_silhouette1
1,0,0,1,1,0
2,0.975276,0.996998,2,2,0.986137
3,0.979242,0.985052,3,3,0.982147
4,0.982429,0.980461,4,4,0.981445
5,0.983934,0.978659,5,5,0.981296
6,0.985763,0.97743,6,6,0.981597
7,0.984162,0.977793,7,7,0.980978
8,0.985046,0.977832,8,8,0.981439
9,0.984844,0.979147,9,9,0.981996
10,0.985439,0.979199,10,10,0.982319
11,0.985926,0.975941,11,11,0.980933
12,0.986506,0.976928,12,12,0.981717
13,0.986789,0.977771,13,13,0.98228
14,0.986633,0.977544,14,14,0.982089
15,0.9868,0.976578,15,15,0.981689
16,0.985742,0.975332,16,16,0.980537
17,0.986136,0.97562,17,17,0.980878
18,0.986347,0.976036,18,18,0.981191
19,0.986794,0.975098,19,19,0.980946
20,0.985218,0.975758,20,20,0.980488
21,0.985602,0.975257,21,21,0.98043
22,0.984688,0.975768,22,22,0.980228
23,0.984197,0.976042,23,23,0.980119
24,0.983303,0.976395,24,24,0.979849
25,0.982224,0.97676,25,25,0.979492
26,0.981451,0.976768,26,26,0.97911
27,0.981867,0.977195,27,27,0.979531
28,0.981208,0.977635,28,28,0.979422
29,0.981465,0.977149,29,29,0.979307
30,0.98182,0.977537,30,30,0.979678
31,0.976043,0.976681,31,31,0.976362
32,0.971081,0.973584,32,32,0.972333
33,0.966638,0.972146,33,33,0.969392
34,0.962826,0.970942,34,34,0.966884
35,0.959637,0.970214,35,35,0.964926
36,0.956905,0.968992,36,36,0.962949
37,0.954431,0.967334,37,37,0.960882
38,0.952405,0.965361,38,38,0.958883
39,0.950523,0.965109,39,39,0.957816
40,0.948804,0.964697,40,40,0.956751
41,0.9473,0.964247,41,41,0.955774
42,0.946156,0.962212,42,42,0.954184
43,0.945127,0.962144,43,43,0.953635
44,0.944278,0.961913,44,44,0.953096
45,0.943515,0.961686,45,45,0.9526
46,0.942926,0.960444,46,46,0.951685
47,0.942446,0.959218,47,47,0.950832
48,0.94212,0.958253,48,48,0.950186
49,0.94174,0.958751,49,49,0.950245
50,0.941404,0.958822,50,50,0.950113
51,0.941202,0.959104,51,51,0.950153
52,0.941148,0.958417,52,52,0.949782
53,0.941057,0.958673,53,53,0.949865
54,0.940991,0.958942,54,54,0.949967
55,0.941041,0.958976,55,55,0.950009
56,0.941125,0.959107,56,56,0.950116
57,0.941223,0.959429,57,57,0.950326
58,0.941365,0.959461,58,58,0.950413
59,0.94152,0.959735,59,59,0.950628
60,0.941725,0.959453,60,60,0.950589
61,0.941914,0.959751,61,61,0.950832
62,0.942116,0.960106,62,62,0.951111
63,0.942313,0.960353,63,63,0.951333
64,0.942556,0.96068,64,64,0.951618
65,0.942833,0.959922,65,65,0.951378
66,0.943083,0.9602,66,66,0.951641
67,0.943359,0.960082,67,67,0.951721
68,0.943658,0.960274,68,68,0.951966
69,0.943913,0.960504,69,69,0.952208
70,0.94419,0.960412,70,70,0.952301
71,0.944455,0.960684,71,71,0.952569
72,0.944717,0.960939,72,72,0.952828
73,0.945029,0.961241,73,73,0.953135
74,0.945382,0.960783,74,74,0.953083
75,0.945684,0.961031,75,75,0.953358
76,0.946008,0.96133,76,76,0.953669
77,0.946335,0.96161,77,77,0.953973
78,0.9467,0.960891,78,78,0.953796
79,0.946977,0.961188,79,79,0.954083
80,0.947338,0.960707,80,80,0.954023
81,0.94762,0.960818,81,81,0.954219
82,0.947959,0.960809,82,82,0.954384
83,0.948273,0.961082,83,83,0.954677
84,0.948584,0.961277,84,84,0.954931
85,0.948897,0.961439,85,85,0.955168
86,0.949206,0.961697,86,86,0.955451
87,0.949543,0.96171,87,87,0.955627
88,0.949881,0.961608,88,88,0.955744
89,0.95018,0.961835,89,89,0.956007
90,0.950504,0.961975,90,90,0.95624
91,0.950817,0.962238,91,91,0.956527
92,0.951135,0.962067,92,92,0.956601
93,0.951439,0.962253,93,93,0.956846
94,0.951755,0.962398,94,94,0.957077
95,0.952054,0.962598,95,95,0.957326
96,0.952378,0.962404,96,96,0.957391
97,0.952676,0.962597,97,97,0.957636
98,0.952927,0.962748,98,98,0.957837
99,0.953223,0.962984,99,99,0.958104
100,0.953515,0.963219,100,100,0.958367
101,0.953804,0.96344,101,101,0.958622
102,0.954097,0.963434,102,102,0.958765
103,0.954383,0.963659,103,103,0.959021
104,0.954655,0.963727,104,104,0.959191
105,0.954919,0.963929,105,105,0.959424
106,0.95516,0.964144,106,106,0.959652
107,0.955393,0.964292,107,107,0.959843
108,0.955641,0.964507,108,108,0.960074
109,0.955899,0.964533,109,109,0.960216
110,0.956168,0.964742,110,110,0.960455
111,0.956401,0.964927,111,111,0.960664
112,0.956663,0.965125,112,112,0.960894
113,0.956897,0.965325,113,113,0.961111
114,0.95715,0.965417,114,114,0.961283
115,0.957409,0.965604,115,115,0.961506
116,0.957658,0.965796,116,116,0.961727
117,0.957911,0.965937,117,117,0.961924
118,0.958154,0.966104,118,118,0.962129
119,0.958389,0.966208,119,119,0.962299
120,0.95864,0.965923,120,120,0.962281
121,0.958876,0.966091,121,121,0.962484
122,0.959103,0.966256,122,122,0.962679
123,0.959327,0.96636,123,123,0.962844
124,0.959552,0.966447,124,124,0.963
125,0.959785,0.966593,125,125,0.963189
126,0.960019,0.966692,126,126,0.963355
127,0.96024,0.966809,127,127,0.963525
128,0.960439,0.966951,128,128,0.963695
129,0.960658,0.967102,129,129,0.96388
130,0.960857,0.967206,130,130,0.964031
131,0.961072,0.967332,131,131,0.964202
