iteration,fuseTest,fuseResult
1,0,53.4542
1,1,4091.6
3,0,54.5515
3,1,4091.54
5,0,53.5261
5,1,4093.37
7,0,56.8631
7,1,4092.55
9,0,53.1805
9,1,4092.06
11,0,54.3606
11,1,4093.89
13,0,53.9786
13,1,4092.08
15,0,54.8153
15,1,4093.44
17,0,53.2388
17,1,4092.34
19,0,54.3167
19,1,4093.89
21,0,53.8092
21,1,4092.02
23,0,54.5146
23,1,4091.67
25,0,54.9117
25,1,4092.09
27,0,51.9143
27,1,4091.94
29,0,52.1508
29,1,4091.41
31,0,53.9205
31,1,4093.92
33,0,53.3914
33,1,4092.3
35,0,52.8666
35,1,4091.78
37,0,53.8723
37,1,4092.56
39,0,54.6066
39,1,4092.16
41,0,52.2061
41,1,4092.01
43,0,53.981
43,1,4092.28
45,0,53.411
45,1,4094.32
47,0,54.2674
47,1,4093.76
49,0,53.9844
49,1,4092.18
51,0,53.7189
51,1,4091.89
53,0,55.6414
53,1,4092.13
55,0,53.6134
55,1,4092.76
57,0,53.9595
57,1,4092.13
59,0,54.1009
59,1,4093.57
61,0,53.167
61,1,4092.6
63,0,55.7786
63,1,4091.9
65,0,52.6368
65,1,4091.91
67,0,56.0034
67,1,4092
69,0,53.6477
69,1,4091.25
71,0,54.079
71,1,4094.16
73,0,54.2915
73,1,4091.04
75,0,54.7706
75,1,4092.1
77,0,54.462
77,1,4092.8
79,0,54.2084
79,1,4092.35
81,0,56.0403
81,1,4092.36
83,0,55.5376
83,1,4091.79
85,0,0
85,1,0
