iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999531,0.999852,2,2,0.999692
5,0.999688,0.999819,3,3,0.999753
7,0.999748,0.999768,4,4,0.999758
9,0.999561,0.999778,5,5,0.99967
11,0.999624,0.9998,6,6,0.999712
13,0.999589,0.999705,7,7,0.999647
15,0.999627,0.999731,8,8,0.999679
17,0.999658,0.999736,9,9,0.999697
19,0.999674,0.999666,10,10,0.99967
21,0.999668,0.999687,11,11,0.999677
23,0.999687,0.999662,12,12,0.999675
25,0.999677,0.99968,13,13,0.999679
27,0.999694,0.999688,14,14,0.999691
29,0.9997,0.999702,15,15,0.999701
31,0.999699,0.999673,16,16,0.999686
33,0.999709,0.999686,17,17,0.999698
35,0.999678,0.999685,18,18,0.999682
37,0.999682,0.999697,19,19,0.999689
39,0.999684,0.999676,20,20,0.99968
41,0.999691,0.999686,21,21,0.999689
43,0.9997,0.999691,22,22,0.999695
45,0.9997,0.999699,23,23,0.999699
47,0.99967,0.999707,24,24,0.999689
49,0.999679,0.999702,25,25,0.999691
51,0.999678,0.999685,26,26,0.999681
53,0.999684,0.999688,27,27,0.999686
55,0.999685,0.999689,28,28,0.999687
57,0.999682,0.99969,29,29,0.999686
59,0.999659,0.999695,30,30,0.999677
61,0.999665,0.999699,31,31,0.999682
63,0.999661,0.9997,32,32,0.999681
65,0.999658,0.999695,33,33,0.999677
67,0.999642,0.9997,34,34,0.999671
69,0.999645,0.999705,35,35,0.999675
71,0.999636,0.999709,36,36,0.999673
73,0.999638,0.999712,37,37,0.999675
75,0.999643,0.999714,38,38,0.999679
77,0.999648,0.999714,39,39,0.999681
79,0.999653,0.999719,40,40,0.999686
81,0.999657,0.999723,41,41,0.99969
83,0.999643,0.999724,42,42,0.999683
85,0.999645,0.999728,43,43,0.999686
87,0.99965,0.999728,44,44,0.999689
89,0.999655,0.999726,45,45,0.999691
91,0.999641,0.999727,46,46,0.999684
93,0.999643,0.999731,47,47,0.999687
95,0.999648,0.999734,48,48,0.999691
97,0.999652,0.999737,49,49,0.999695
99,0.999636,0.999739,50,50,0.999687
101,0.999632,0.999735,50,50,0.999684
103,0.999628,0.999734,50,50,0.999681
105,0.999629,0.999736,50,50,0.999682
107,0.99963,0.99974,50,50,0.999685
109,0.999639,0.999737,50,50,0.999688
111,0.999638,0.999738,50,50,0.999688
113,0.999627,0.999738,50,50,0.999682
115,0.99962,0.999736,50,50,0.999678
117,0.999619,0.999739,50,50,0.999679
119,0.99962,0.999748,50,50,0.999684
121,0.999621,0.999749,50,50,0.999685
123,0.999608,0.999757,50,50,0.999683
125,0.999613,0.999752,50,50,0.999683
127,0.999611,0.999753,50,50,0.999682
129,0.99961,0.99975,50,50,0.99968
131,0.999612,0.99976,50,50,0.999686
133,0.999613,0.999759,50,50,0.999686
135,0.999625,0.999758,50,50,0.999691
137,0.999627,0.999757,50,50,0.999692
139,0.999629,0.99977,50,50,0.9997
141,0.999626,0.99977,50,50,0.999698
143,0.999625,0.999772,50,50,0.999699
145,0.999627,0.999771,50,50,0.999699
147,0.999641,0.999771,50,50,0.999706
149,0.999629,0.999777,50,50,0.999703
151,0.999633,0.999794,50,50,0.999713
153,0.999635,0.999796,50,50,0.999716
155,0.999626,0.999797,50,50,0.999711
157,0.999632,0.9998,50,50,0.999716
159,0.999645,0.999799,50,50,0.999722
161,0.999636,0.999798,50,50,0.999717
163,0.999643,0.999795,50,50,0.999719
165,0.999649,0.999805,50,50,0.999727
167,0.999659,0.999797,50,50,0.999728
169,0.999661,0.999797,50,50,0.999729
171,0.999668,0.999788,50,50,0.999728
173,0.999669,0.999789,50,50,0.999729
175,0.999667,0.999786,50,50,0.999727
177,0.999667,0.999776,50,50,0.999721
179,0.999665,0.999766,50,50,0.999715
181,0.99965,0.999766,50,50,0.999708
183,0.999668,0.999765,50,50,0.999716
185,0.999668,0.999759,50,50,0.999714
187,0.999649,0.99976,50,50,0.999705
