iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999978,0.999955,2,2,0.999967
5,0.999816,0.999932,3,3,0.999874
7,0.999802,0.999792,4,4,0.999797
9,0.999777,0.999793,5,5,0.999785
11,0.999699,0.999688,6,6,0.999694
13,0.999726,0.999719,7,7,0.999723
15,0.99974,0.999716,8,8,0.999728
17,0.999721,0.999735,9,9,0.999728
19,0.999697,0.999751,10,10,0.999724
21,0.999714,0.999702,11,11,0.999708
23,0.9997,0.999694,12,12,0.999697
25,0.999698,0.999703,13,13,0.999701
27,0.999702,0.999717,14,14,0.99971
29,0.999711,0.99972,15,15,0.999716
31,0.999721,0.999731,16,16,0.999726
33,0.999729,0.99974,17,17,0.999735
35,0.999736,0.99974,18,18,0.999738
37,0.999743,0.99974,19,19,0.999741
39,0.99974,0.999744,20,20,0.999742
41,0.999747,0.999752,21,21,0.999749
43,0.999734,0.999747,22,22,0.999741
45,0.999729,0.99975,23,23,0.99974
47,0.999734,0.999739,24,24,0.999737
49,0.999741,0.999745,25,25,0.999743
51,0.999745,0.999742,26,26,0.999744
53,0.999745,0.999736,27,27,0.999741
55,0.999729,0.999735,28,28,0.999732
57,0.999719,0.999741,29,29,0.99973
59,0.999718,0.99974,30,30,0.999729
61,0.999718,0.999744,31,31,0.999731
63,0.999702,0.999744,32,32,0.999723
65,0.99969,0.999748,33,33,0.999719
67,0.999691,0.999752,34,34,0.999722
69,0.999695,0.999738,35,35,0.999716
71,0.999696,0.999742,36,36,0.999719
73,0.999701,0.999744,37,37,0.999723
75,0.999701,0.999742,38,38,0.999721
77,0.999703,0.999745,39,39,0.999724
79,0.999701,0.999727,40,40,0.999714
81,0.999703,0.99973,41,41,0.999716
83,0.999706,0.999728,42,42,0.999717
85,0.99971,0.999726,43,43,0.999718
87,0.999713,0.999728,44,44,0.999721
89,0.999713,0.999729,45,45,0.999721
91,0.999706,0.999729,46,46,0.999718
93,0.999709,0.999732,47,47,0.999721
95,0.999695,0.999733,48,48,0.999714
97,0.999688,0.999737,49,49,0.999712
99,0.999689,0.999734,50,50,0.999712
101,0.999688,0.999734,50,50,0.999711
103,0.999677,0.999728,50,50,0.999702
105,0.999682,0.999728,50,50,0.999705
107,0.999682,0.999728,50,50,0.999705
109,0.99967,0.999725,50,50,0.999697
111,0.999673,0.999738,50,50,0.999706
113,0.999673,0.999738,50,50,0.999706
115,0.999674,0.999738,50,50,0.999706
117,0.999675,0.999739,50,50,0.999707
119,0.999683,0.999739,50,50,0.999711
121,0.999684,0.999756,50,50,0.99972
123,0.999687,0.999759,50,50,0.999723
125,0.999688,0.999753,50,50,0.999721
127,0.99869,0.999751,51,49,0.99921
