iteration,fuseTest,fuseResult
1,0,53.6958
1,1,4092.37
3,0,53.8933
3,1,4093.81
5,0,54.6707
5,1,4091.69
7,0,55.2012
7,1,4094.07
9,0,54.1682
9,1,4091.57
11,0,54.178
11,1,4091.73
13,0,55.6456
13,1,4094.02
15,0,54.0261
15,1,4093.62
17,0,54.6224
17,1,4091.89
19,0,52.2439
19,1,4094.53
21,0,53.4695
21,1,4094.95
23,0,52.9403
23,1,4093.3
25,0,55.9781
25,1,4091.16
27,0,53.9621
27,1,4091.78
29,0,54.1485
29,1,4094.28
31,0,54.0067
31,1,4092.99
33,0,53.9933
33,1,4092.14
35,0,54.0224
35,1,4091.96
37,0,54.542
37,1,4094.67
39,0,53.6024
39,1,4091.95
41,0,52.6675
41,1,4091.22
43,0,53.6447
43,1,4092.54
45,0,56.768
45,1,4092.73
47,0,53.9999
47,1,4092.99
49,0,55.1688
49,1,4094.88
51,0,55.3966
51,1,4092.33
53,0,53.9217
53,1,4092.29
55,0,52.0104
55,1,4092.12
57,0,53.0998
57,1,4092.88
59,0,53.4763
59,1,4092.07
61,0,53.9441
61,1,4092.33
63,0,54.1129
63,1,4092.31
65,0,54.1907
65,1,4092.97
67,0,53.8985
67,1,4091.79
69,0,56.6544
69,1,4091.6
71,0,54.0603
71,1,4091.96
73,0,51.6422
73,1,4091.57
75,0,55.5058
75,1,4092.79
77,0,54.1819
77,1,4091.26
79,0,53.9461
79,1,4094.4
81,0,53.9469
81,1,4094.52
83,0,54.9208
83,1,4091.6
85,0,53.3854
85,1,4092.53
87,0,53.8063
87,1,4091.54
89,0,54.6644
89,1,4092.45
91,0,53.8172
91,1,4094.2
93,0,53.8767
93,1,4091.31
95,0,54.4427
95,1,4092.3
97,0,55.2404
97,1,4093.01
99,0,53.4242
99,1,4092.5
101,0,56.0581
101,1,4093.06
103,0,54.3061
103,1,4092.01
105,0,53.9177
105,1,4091.42
107,0,53.6921
107,1,4094.58
109,0,53.221
109,1,4091.38
111,0,55.1595
111,1,4092.26
113,0,53.0529
113,1,4094.05
115,0,56.3498
115,1,4094.26
117,0,54.0285
117,1,4092.17
119,0,54.1012
119,1,4092.26
121,0,55.948
121,1,4091.41
123,0,52.8876
123,1,4093.51
125,0,54.1617
125,1,4091.06
