iteration,silhouette_cluster1,silhouette_cluster2,n_points_cluster1,n_points_cluster2,overall_silhouette1
1,0,0,1,1,0
2,0.986216,0.928828,2,2,0.957522
3,0.980949,0.92526,3,3,0.953104
4,0.983885,0.941882,4,4,0.962883
5,0.984779,0.931913,5,5,0.958346
6,0.985649,0.929699,6,6,0.957674
7,0.98689,0.935303,7,7,0.961096
8,0.987285,0.937335,8,8,0.96231
9,0.978752,0.941386,9,9,0.960069
10,0.972725,0.944599,10,10,0.958662
11,0.967114,0.943061,11,11,0.955087
12,0.966051,0.939596,12,12,0.952824
13,0.963768,0.942194,13,13,0.952981
14,0.958821,0.944517,14,14,0.951669
15,0.958034,0.941053,15,15,0.949544
16,0.959333,0.93979,16,16,0.949562
17,0.960133,0.941893,17,17,0.951013
18,0.960558,0.943924,18,18,0.952241
19,0.961534,0.945648,19,19,0.953591
20,0.962697,0.945922,20,20,0.95431
