iteration,fuseTest,fuseResult
1,0,54.7601
1,1,4094.01
3,0,55.7509
3,1,4094.25
5,0,51.8125
5,1,4093.22
7,0,54.8638
7,1,4091.1
9,0,53.3241
9,1,4091.97
11,0,54.4815
11,1,4093.15
13,0,53.685
13,1,4091.97
15,0,55.0874
15,1,4091.3
17,0,53.1752
17,1,4091.59
19,0,52.9151
19,1,4091.07
21,0,53.7165
21,1,4093.32
23,0,52.6075
23,1,4093.1
25,0,56.0637
25,1,4093.75
27,0,53.5004
27,1,4091.79
29,0,53.2636
29,1,4091.73
31,0,53.9695
31,1,4093.46
33,0,52.6194
33,1,4091.45
35,0,54.0451
35,1,4092
37,0,55.2701
37,1,4092.09
39,0,54.3351
39,1,4091.13
41,0,53.9228
41,1,4091.36
43,0,52.2763
43,1,4091.97
45,0,55.788
45,1,4092.27
47,0,55.2155
47,1,4092.51
49,0,54.348
49,1,4093.97
51,0,54.5885
51,1,4094.68
53,0,55.0901
53,1,4092.15
55,0,51.5768
55,1,4091.56
57,0,51.6143
57,1,4092.03
59,0,53.4352
59,1,4094.6
61,0,53.8427
61,1,4091.03
63,0,53.4511
63,1,4093.79
65,0,53.5851
65,1,4092.06
67,0,55.097
67,1,4092.28
69,0,54.1327
69,1,4093.59
71,0,53.9524
71,1,4092.14
73,0,56.1294
73,1,4091.66
75,0,55.4671
75,1,4092.1
77,0,53.2045
77,1,4093.05
79,0,54.623
79,1,4091.4
81,0,55.5618
81,1,4091.85
83,0,55.7292
83,1,4093.09
85,0,54.9937
85,1,4092.45
87,0,54.846
87,1,4092.14
89,0,54.2769
89,1,4093.4
91,0,54.8473
91,1,4092.94
93,0,53.7483
93,1,4092.38
95,0,53.8444
95,1,4093.36
97,0,52.7816
97,1,4092.71
