iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1,0,0,1,1,0
3,0.999755,0.99994,2,2,0.999847
5,0.99935,0.999831,3,3,0.99959
7,0.999508,0.999578,4,4,0.999543
9,0.999534,0.999587,5,5,0.999561
11,0.999594,0.999638,6,6,0.999616
13,0.999623,0.999652,7,7,0.999638
15,0.999645,0.999642,8,8,0.999643
17,0.999647,0.999654,9,9,0.999651
19,0.999647,0.999652,10,10,0.999649
21,0.999666,0.999658,11,11,0.999662
23,0.99966,0.99967,12,12,0.999665
25,0.999628,0.999668,13,13,0.999648
27,0.999643,0.999675,14,14,0.999659
29,0.999654,0.999683,15,15,0.999669
31,0.999667,0.999686,16,16,0.999676
33,0.999665,0.999688,17,17,0.999676
35,0.999675,0.999696,18,18,0.999686
37,0.999669,0.999704,19,19,0.999687
39,0.999677,0.999701,20,20,0.999689
41,0.999686,0.999704,21,21,0.999695
43,0.999676,0.999711,22,22,0.999694
45,0.999663,0.999718,23,23,0.99969
47,0.999661,0.999722,24,24,0.999692
49,0.999669,0.999711,25,25,0.99969
51,0.999674,0.999689,26,26,0.999682
53,0.999676,0.999696,27,27,0.999686
55,0.999654,0.999699,28,28,0.999677
57,0.999637,0.999705,29,29,0.999671
59,0.999643,0.999689,30,30,0.999666
61,0.99965,0.999686,31,31,0.999668
63,0.999655,0.999682,32,32,0.999669
65,0.999661,0.999687,33,33,0.999674
67,0.999661,0.999692,34,34,0.999677
69,0.999667,0.999691,35,35,0.999679
71,0.999673,0.999696,36,36,0.999684
73,0.999661,0.999699,37,37,0.99968
75,0.999658,0.999703,38,38,0.999681
77,0.99966,0.999705,39,39,0.999683
79,0.999664,0.999705,40,40,0.999685
81,0.999661,0.999709,41,41,0.999685
83,0.999657,0.99971,42,42,0.999683
85,0.999659,0.999713,43,43,0.999686
87,0.999662,0.999717,44,44,0.99969
89,0.999666,0.999717,45,45,0.999691
91,0.999669,0.999718,46,46,0.999694
93,0.999672,0.999722,47,47,0.999697
95,0.999676,0.999721,48,48,0.999699
97,0.999674,0.999724,49,49,0.999699
