All values
ap_fixed<18,8> | error recall = 47.2588480222068% | recall SKL = 99.01110340041637% | recall HDL = 51.752255378209576%
ap_fixed<18,9> | error recall = 73.03955586398334% | recall SKL = 99.01110340041637% | recall HDL = 25.971547536433032%
ap_fixed<18,10> | error recall = 5.343511450381677% | recall SKL = 99.01110340041637% | recall HDL = 93.6675919500347%
ap_fixed<18,11> | error recall = 0.0346981263011803% | recall SKL = 99.01110340041637% | recall HDL = 98.9764052741152%
ap_fixed<18,12> | error recall = 0.0867453157529452% | recall SKL = 99.01110340041637% | recall HDL = 98.92435808466344%
ap_fixed<19,8> | error recall = 47.2588480222068% | recall SKL = 99.01110340041637% | recall HDL = 51.752255378209576%
ap_fixed<19,9> | error recall = 73.02220680083276% | recall SKL = 99.01110340041637% | recall HDL = 25.988896599583622%
ap_fixed<19,10> | error recall = 5.395558639833453% | recall SKL = 99.01110340041637% | recall HDL = 93.61554476058292%
ap_fixed<19,11> | error recall = 0.0173490631505957% | recall SKL = 99.01110340041637% | recall HDL = 98.99375433726578%
ap_fixed<19,12> | error recall = 0.0346981263011803% | recall SKL = 99.01110340041637% | recall HDL = 98.9764052741152%
ap_fixed<20,8> | error recall = 47.2588480222068% | recall SKL = 99.01110340041637% | recall HDL = 51.752255378209576%
ap_fixed<20,9> | error recall = 73.02220680083276% | recall SKL = 99.01110340041637% | recall HDL = 25.988896599583622%
ap_fixed<20,10> | error recall = 5.395558639833453% | recall SKL = 99.01110340041637% | recall HDL = 93.61554476058292%
ap_fixed<20,11> | error recall = 0.0173490631505957% | recall SKL = 99.01110340041637% | recall HDL = 98.99375433726578%
ap_fixed<20,12> | error recall = 0.0173490631505957% | recall SKL = 99.01110340041637% | recall HDL = 98.99375433726578%
ap_fixed<21,8> | error recall = 47.2588480222068% | recall SKL = 99.01110340041637% | recall HDL = 51.752255378209576%
ap_fixed<21,9> | error recall = 73.02220680083276% | recall SKL = 99.01110340041637% | recall HDL = 25.988896599583622%
ap_fixed<21,10> | error recall = 5.395558639833453% | recall SKL = 99.01110340041637% | recall HDL = 93.61554476058292%
ap_fixed<21,11> | error recall = 0.0% | recall SKL = 99.01110340041637% | recall HDL = 99.01110340041637%
ap_fixed<21,12> | error recall = 0.0173490631505957% | recall SKL = 99.01110340041637% | recall HDL = 98.99375433726578%
ap_fixed<22,8> | error recall = 47.2588480222068% | recall SKL = 99.01110340041637% | recall HDL = 51.752255378209576%
ap_fixed<22,9> | error recall = 73.02220680083276% | recall SKL = 99.01110340041637% | recall HDL = 25.988896599583622%
ap_fixed<22,10> | error recall = 5.395558639833453% | recall SKL = 99.01110340041637% | recall HDL = 93.61554476058292%
ap_fixed<22,11> | error recall = 0.0% | recall SKL = 99.01110340041637% | recall HDL = 99.01110340041637%
ap_fixed<22,12> | error recall = 0.0% | recall SKL = 99.01110340041637% | recall HDL = 99.01110340041637%
ap_fixed<23,8> | error recall = 47.2588480222068% | recall SKL = 99.01110340041637% | recall HDL = 51.752255378209576%
ap_fixed<23,9> | error recall = 73.02220680083276% | recall SKL = 99.01110340041637% | recall HDL = 25.988896599583622%
ap_fixed<23,10> | error recall = 5.395558639833453% | recall SKL = 99.01110340041637% | recall HDL = 93.61554476058292%
ap_fixed<23,11> | error recall = 0.0% | recall SKL = 99.01110340041637% | recall HDL = 99.01110340041637%
ap_fixed<23,12> | error recall = 0.0% | recall SKL = 99.01110340041637% | recall HDL = 99.01110340041637%
ap_fixed<24,8> | error recall = 47.2588480222068% | recall SKL = 99.01110340041637% | recall HDL = 51.752255378209576%
ap_fixed<24,9> | error recall = 73.02220680083276% | recall SKL = 99.01110340041637% | recall HDL = 25.988896599583622%
ap_fixed<24,10> | error recall = 5.395558639833453% | recall SKL = 99.01110340041637% | recall HDL = 93.61554476058292%
ap_fixed<24,11> | error recall = 0.0% | recall SKL = 99.01110340041637% | recall HDL = 99.01110340041637%
ap_fixed<24,12> | error recall = 0.0% | recall SKL = 99.01110340041637% | recall HDL = 99.01110340041637%
